rank,name,opportunity_score,l1_wins,l2_count,dept_count,state_count,defence_l1,municipal_l1,health_l1,departments,states,is_100x_dealer,crm_contacted,why_contact
"1","CENTRAL WAREHOUSING CORPORATION","48","5","5","12","0","0","2","0","Indian Coast Guard | Controller General Of Defence Accounts | Southern Railway | Bharat Petroleum Corporation Ltd | Power Grid Corporation Of India Limited","","No","No","proven L1 performer (5 wins); active L1 winner (5 wins); municipal reach (2 mun wins)"
"2","VVDN TECHNOLOGIES PRIVATE LIMITED","35","6","0","4","0","1","0","0","Directorate Of Purchase And Stores | Ncra Tifr Pune | Indian Army | Indian Institute Of Technology (iit)","","No","No","proven L1 performer (6 wins); active L1 winner (6 wins); defence buyer access"
"3","FOGGERS INDIA PRIVATE LIMITED","34","3","6","9","4","0","0","0","Government Medical College And Hospital | Zilla Parishad Satara | E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of | Indian Air Force | South Eastern Coalfields Limited","Chandigarh, Maharashtra, Odisha, Uttar Pradesh","No","No","active L1 winner (3 wins); multi-department (9 depts); cross-state (4 states)"
"4","PARTH ENTERPRISE","32","4","0","2","1","3","1","0","Surat District Panchayats | Indian Coast Guard","Gujarat","No","No","active L1 winner (4 wins); defence buyer access (3 def wins)"
"5","AKAM ENTERPRISES","27","3","1","3","0","3","0","0","Dg Of Defence Estate | Indian Air Force | North Eastern Railway","","No","No","active L1 winner (3 wins); defence buyer access (3 def wins)"
"6","ROYAL TRADELINKS PRIVATE LIMITED","26","3","1","4","2","0","2","0","Nagar Nigam Dehradun | E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of | South Eastern Coalfields Limited | Banaras Hindu University","Uttarakhand, Uttar Pradesh","No","No","active L1 winner (3 wins); municipal reach (2 mun wins)"
"7","APPLIED REALTECH SYSTEMS PRIVATE LIMITED","24","3","3","6","0","0","0","0","Society For Applied Microwave Electronic Engineering And Research (sameer) | Indian Space Research Organization | Indian Institute Of Technology (iit) | Office Of Dg (ecs) | Aeronautical Development Agency","","No","No","active L1 winner (3 wins); multi-department (6 depts)"
"8","GLOBAL PEST SOLUTIONS","24","3","2","4","0","0","2","0","Power Grid Corporation Of India Limited | Iocl- Panipat Refinery | Council Of Scientific And Industrial Research (csir) | Bureau Of Indian Standards (bis)","","No","No","active L1 winner (3 wins); municipal reach (2 mun wins)"
"9","VIGHNHARTA CORPORATION","23","3","1","3","0","1","1","0","Indian Air Force | Central Warehousing Corporation (cwc) | Troop Comforts Limited","","No","No","active L1 winner (3 wins); defence buyer access"
"10","MACHINERY SALES CORPORATION","23","3","0","1","0","3","0","0","Indian Coast Guard","","No","No","active L1 winner (3 wins); defence buyer access (3 def wins)"
"11","MATRISH SHIP MANAGEMENT PRIVATE LIMITED","23","3","0","1","0","3","0","0","Indian Coast Guard","","No","No","active L1 winner (3 wins); defence buyer access (3 def wins)"
"12","MAHMUTHA TRADING COMPANY","23","3","0","1","0","3","0","0","Indian Coast Guard","","No","No","active L1 winner (3 wins); defence buyer access (3 def wins)"
"13","AGMATEL INDIA PRIVATE LIMITED","22","3","3","5","0","0","0","0","Bharat Electronics Limited (bel) | Indian Institute Of Technology (iit) | Office Of Dg (ecs) | Indian Army | Society For Applied Microwave Electronic Engineering And Research (sameer)","","No","No","active L1 winner (3 wins); multi-department (5 depts)"
"14","TEMPSENS INSTRUMENTS (INDIA) PRIVATE LIMITED","22","3","0","3","0","0","2","0","Nuclear Power Corporation Of India Limited | Ntpc Green Energy Limited | Security Printing And Minting Corporation Of India Limited (spmcil)","","No","No","active L1 winner (3 wins); municipal reach (2 mun wins)"
"15","ESS KAY HOME CARE","20","2","4","3","0","2","0","0","Indian Army | All India Institute Of Medical Sciences (aiims) | Indian Coast Guard","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"16","KRISHNA ENTERPRISES","20","2","0","3","0","2","0","0","Indian Coast Guard | Indian Navy | Indian Army","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"17","ENTUPLE TECHNOLOGIES PRIVATE LIMITED","20","4","0","2","0","0","0","0","National Institute Of Technology (nit) | Airports Authority Of India","","No","No","active L1 winner (4 wins)"
"18","CONVERGENT TECHNOLOGIES INDIA PRIVATE LIMITED","18","3","0","3","0","0","0","0","Indian Institute Of Technology (iit) | Centre For Development Of Advanced Computing (c-dac) | Bharat Electronics Limited (bel)","","No","No","active L1 winner (3 wins)"
"19","CLOUD TECH PRIVATE LIMITED","18","2","2","4","2","0","0","0","Eastern Coalfields Limited | Rourkela Steel Plant | Ntpc Limited | New Okhla Industrial Development Authority (noida)","West Bengal, Uttar Pradesh","No","No","active L1 winner (2 wins)"
"20","PRITAM SOLAR AND MULTISERVICES","17","2","0","2","1","0","2","0","Ministry Of Panchayati Raj | Beed District Panchayats","Maharashtra","No","No","active L1 winner (2 wins); municipal reach (2 mun wins)"
"21","BIO SOLUTION PEST CONTROL SERVICE PRIVATE LIMITED","17","2","1","2","0","1","1","0","Indian Coast Guard | Power Grid Corporation Of India Limited","","No","No","active L1 winner (2 wins); defence buyer access"
"22","A ONE CARE PEST CONTROL","17","2","0","2","0","1","1","0","Controller General Of Defence Accounts | Power Grid Corporation Of India Limited","","No","No","active L1 winner (2 wins); defence buyer access"
"23","SHEORAN ENTERPRISES","17","2","0","3","0","1","0","0","Border Security Force (bsf) | Bhakra Beas Management Board | Indian Army","","No","No","active L1 winner (2 wins); defence buyer access"
"24","INDIAN PEST CONTROL COMPANY","17","2","1","3","0","1","0","0","Indian Coast Guard | Indian Navy | Grid Controller Of India Limited","","No","No","active L1 winner (2 wins); defence buyer access"
"25","VVN ENTERPRISES","16","2","0","1","0","2","0","0","Indian Army","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
