rank,name,opportunity_score,l1_wins,l2_count,dept_count,state_count,defence_l1,municipal_l1,health_l1,departments,states,is_100x_dealer,crm_contacted,why_contact
"1","PARTH ENTERPRISE","32","4","0","2","1","3","1","0","Surat District Panchayats | Indian Coast Guard","Gujarat","No","No","active L1 winner (4 wins); defence buyer access (3 def wins)"
"2","MACHINERY SALES CORPORATION","23","3","0","1","0","3","0","0","Indian Coast Guard","","No","No","active L1 winner (3 wins); defence buyer access (3 def wins)"
"3","AKAM ENTERPRISES","27","3","1","3","0","3","0","0","Dg Of Defence Estate | Indian Air Force | North Eastern Railway","","No","No","active L1 winner (3 wins); defence buyer access (3 def wins)"
"4","MATRISH SHIP MANAGEMENT PRIVATE LIMITED","23","3","0","1","0","3","0","0","Indian Coast Guard","","No","No","active L1 winner (3 wins); defence buyer access (3 def wins)"
"5","MAHMUTHA TRADING COMPANY","23","3","0","1","0","3","0","0","Indian Coast Guard","","No","No","active L1 winner (3 wins); defence buyer access (3 def wins)"
"6","VVN ENTERPRISES","16","2","0","1","0","2","0","0","Indian Army","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"7","ESS KAY HOME CARE","20","2","4","3","0","2","0","0","Indian Army | All India Institute Of Medical Sciences (aiims) | Indian Coast Guard","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"8","T S ENTERPRISES","16","2","0","1","0","2","0","0","Indian Army","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"9","SHRAMAN MACHINERY STORE","16","2","0","1","0","2","0","0","Indian Army","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"10","KUNDAN AUTO ELECTRICALS","16","2","0","1","0","2","0","0","Indian Army","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"11","J.S TRADERS","16","2","0","1","0","2","0","0","Indian Army","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"12","VIKRANT TRADERS","16","2","0","1","0","2","0","0","Indian Army","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"13","EVERGREEN ENTERPRISES","16","2","0","1","0","2","0","0","Indian Coast Guard","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"14","SHIMAR STAR GLACIER","16","2","0","1","0","2","0","0","Indian Army","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"15","KRISHNA ENTERPRISES","20","2","0","3","0","2","0","0","Indian Coast Guard | Indian Navy | Indian Army","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"16","SPR AUTOMOBILES","16","2","0","1","0","2","0","0","Border Security Force (bsf)","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"17","AL FALAH INTERNATIONAL","16","2","0","1","0","2","0","0","Indian Army","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"18","AAYU ENTERPRISES","16","2","1","1","0","2","0","0","Indian Coast Guard","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"19","NAV BHARAT ENTERPRISES","16","2","0","1","0","2","0","0","Indian Army","","No","No","active L1 winner (2 wins); defence buyer access (2 def wins)"
"20","VVDN TECHNOLOGIES PRIVATE LIMITED","35","6","0","4","0","1","0","0","Directorate Of Purchase And Stores | Ncra Tifr Pune | Indian Army | Indian Institute Of Technology (iit)","","No","No","proven L1 performer (6 wins); active L1 winner (6 wins); defence buyer access"
"21","VIGHNHARTA CORPORATION","23","3","1","3","0","1","1","0","Indian Air Force | Central Warehousing Corporation (cwc) | Troop Comforts Limited","","No","No","active L1 winner (3 wins); defence buyer access"
"22","BIO SOLUTION PEST CONTROL SERVICE PRIVATE LIMITED","17","2","1","2","0","1","1","0","Indian Coast Guard | Power Grid Corporation Of India Limited","","No","No","active L1 winner (2 wins); defence buyer access"
"23","A ONE CARE PEST CONTROL","17","2","0","2","0","1","1","0","Controller General Of Defence Accounts | Power Grid Corporation Of India Limited","","No","No","active L1 winner (2 wins); defence buyer access"
"24","SHEORAN ENTERPRISES","17","2","0","3","0","1","0","0","Border Security Force (bsf) | Bhakra Beas Management Board | Indian Army","","No","No","active L1 winner (2 wins); defence buyer access"
"25","SEQURE INDIA PEST CONTROL PRIVATE LIMITED","14","2","1","1","1","1","0","0","Indian Navy","Delhi","No","No","active L1 winner (2 wins); defence buyer access"
