rank,name,opportunity_score,l1_wins,l2_count,dept_count,state_count,defence_l1,municipal_l1,health_l1,departments,states,is_100x_dealer,crm_contacted,why_contact
"1","CENTRAL WAREHOUSING CORPORATION","48","5","5","12","0","0","2","0","Indian Coast Guard | Controller General Of Defence Accounts | Southern Railway | Bharat Petroleum Corporation Ltd | Power Grid Corporation Of India Limited","","No","No","proven L1 performer (5 wins); active L1 winner (5 wins); municipal reach (2 mun wins)"
"2","ROYAL TRADELINKS PRIVATE LIMITED","26","3","1","4","2","0","2","0","Nagar Nigam Dehradun | E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of | South Eastern Coalfields Limited | Banaras Hindu University","Uttarakhand, Uttar Pradesh","No","No","active L1 winner (3 wins); municipal reach (2 mun wins)"
"3","GLOBAL PEST SOLUTIONS","24","3","2","4","0","0","2","0","Power Grid Corporation Of India Limited | Iocl- Panipat Refinery | Council Of Scientific And Industrial Research (csir) | Bureau Of Indian Standards (bis)","","No","No","active L1 winner (3 wins); municipal reach (2 mun wins)"
"4","TEMPSENS INSTRUMENTS (INDIA) PRIVATE LIMITED","22","3","0","3","0","0","2","0","Nuclear Power Corporation Of India Limited | Ntpc Green Energy Limited | Security Printing And Minting Corporation Of India Limited (spmcil)","","No","No","active L1 winner (3 wins); municipal reach (2 mun wins)"
"5","PRITAM SOLAR AND MULTISERVICES","17","2","0","2","1","0","2","0","Ministry Of Panchayati Raj | Beed District Panchayats","Maharashtra","No","No","active L1 winner (2 wins); municipal reach (2 mun wins)"
"6","ANIKA INFRA VENTURES","15","2","0","1","1","0","2","0","E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of","Uttar Pradesh","No","No","active L1 winner (2 wins); municipal reach (2 mun wins)"
"7","PARTH ENTERPRISE","32","4","0","2","1","3","1","0","Surat District Panchayats | Indian Coast Guard","Gujarat","No","No","active L1 winner (4 wins); defence buyer access (3 def wins)"
"8","VIGHNHARTA CORPORATION","23","3","1","3","0","1","1","0","Indian Air Force | Central Warehousing Corporation (cwc) | Troop Comforts Limited","","No","No","active L1 winner (3 wins); defence buyer access"
"9","BIO SOLUTION PEST CONTROL SERVICE PRIVATE LIMITED","17","2","1","2","0","1","1","0","Indian Coast Guard | Power Grid Corporation Of India Limited","","No","No","active L1 winner (2 wins); defence buyer access"
"10","A ONE CARE PEST CONTROL","17","2","0","2","0","1","1","0","Controller General Of Defence Accounts | Power Grid Corporation Of India Limited","","No","No","active L1 winner (2 wins); defence buyer access"
"11","HINDUSTHAN ASSOCIATES","16","2","2","3","0","0","1","0","Indian Coast Guard | Security Printing And Minting Corporation Of India Limited (spmcil) | Power Grid Corporation Of India Limited","","No","No","active L1 winner (2 wins)"
"12","MODERN PEST CONTROL SERVICE(PROP RANJIT SAMANTA)","14","2","1","2","0","0","1","0","Power Grid Corporation Of India Limited | Airports Authority Of India","","No","No","active L1 winner (2 wins)"
"13","RFS AGRICO PRIVATE LIMITED","12","2","1","1","0","0","1","0","Housing And Urban Development Corporation Ltd","","No","No","active L1 winner (2 wins)"
"14","COLUMBUS CLIMBER INDIA","9","1","0","1","1","0","1","0","Nagar Palika Parishad Akbarpur","Uttar Pradesh","No","No","consistent GeM bidder, early-stage"
"15","AVTAR ENTERPRISES","9","1","0","1","1","0","1","0","E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of","Uttar Pradesh","No","No","consistent GeM bidder, early-stage"
"16","BHARAT ENTERPRISES","11","1","1","2","1","0","1","0","Indian Army | E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of","Uttar Pradesh","No","No","consistent GeM bidder, early-stage"
"17","RAMASHRAY TRADING CO","9","1","0","1","1","0","1","0","E-nagar Palika Government Of Madhya Pradesh","Madhya Pradesh","No","No","consistent GeM bidder, early-stage"
"18","PEST CONTROL","8","1","0","1","0","0","1","0","Power Grid Corporation Of India Limited","","No","No","consistent GeM bidder, early-stage"
"19","BHIMASHANKAR ENTERPRISES","8","1","0","1","0","0","1","0","Power Grid Corporation Of India Limited","","No","No","consistent GeM bidder, early-stage"
"20","FURKAN ALI TRADERS","9","1","0","1","1","0","1","0","Nagar Panchayat Ushait Budaun","Uttar Pradesh","No","No","consistent GeM bidder, early-stage"
"21","CLEAN & GREEN EQUIPMENTS PRIVATE LIMITED","9","1","1","1","1","0","1","0","E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of","Uttar Pradesh","No","No","consistent GeM bidder, early-stage"
"22","DADASHRI ENTERPRISES","9","1","0","1","1","0","1","0","Solapur District Panchayats","Maharashtra","No","No","consistent GeM bidder, early-stage"
"23","NEPTUNE PACKAGING PRIVATE LIMITED","15","1","1","3","3","0","1","0","Kollam Corporation | E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of | Indian Air Force","Kerala, Uttar Pradesh, Odisha","No","No","cross-state (3 states)"
"24","SWAPNIL ENTERPRISES AND PEST CONTROL SERVICES","8","1","0","1","0","0","1","0","Power Grid Corporation Of India Limited","","No","No","consistent GeM bidder, early-stage"
"25","SANVIK IND.","9","1","0","1","1","0","1","0","Kollam Corporation","Kerala","No","No","consistent GeM bidder, early-stage"
