rank,department,segment,bid_count,top_dealers,states,last_bid
"1","Indian Army","Defence","163","KOCHAR AUTOMOBILES | VV ENTERPRISES | VVN ENTERPRISES","","2026-06-06"
"2","Indian Coast Guard","Defence","35","RAMADRI ENTERPRISES | KRISHNA ENTERPRISES | EKTA ENGINEERING","","2026-06-06"
"3","E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of","Municipal","14","AVTAR ENTERPRISES | SKTD SERVICES PRIVATE LIMITED | BHARAT ENTERPRISES","Uttar Pradesh","2026-06-06"
"4","Border Security Force (bsf)","Defence","12","ANAND SALES CORPORATION | SPR AUTOMOBILES | SAINIK SOLUTIONS","","2026-06-06"
"5","Eastern Coalfields Limited","Other Govt","11","S.B.S ENTERPRISE | ZYLM ENERGY PRIVATE LIMITED | MAA KALYANESWARI TRADERS","","2026-06-06"
"6","Indian Navy","Defence","10","VINAYAK ENGINEERING | KIRTI ENTERPRISES | NAMRATA NOVELTIES","","2026-06-06"
"7","Ntpc Limited","Other Govt","10","BIJAY KUMAR THAMBA | NEW UNIVERSAL R O SYSTEM | PUJA ENTERPRISES","","2026-06-06"
"8","Power Grid Corporation Of India Limited","Municipal","9","PEST CONTROL | SWAPNIL ENTERPRISES AND PEST CONTROL SERVICES | GLOBAL PEST SOLUTIONS","","2026-06-06"
"9","Bharat Electronics Limited (bel)","Other Govt","9","CONET TECHNOLOGIES PRIVATE LIMITED | BALAN ENGINEERING PRIVATE LIMITED | APPLIED REALTECH SYSTEMS PRIVATE LIMITED","","2026-06-06"
"10","Urban Development And Housing Department","Other Govt","9","WALTZER INDIA PRIVATE LIMITED | MISTU ENTERPRISES | G.K CONSTRUCTION","Bihar","2026-06-06"
"11","Indian Air Force","Defence","8","CENTRAL INDIA ENGINEERING COMPANY | DHANESH KUMAR RISUMAL SINDHI | BHARTI ENTERPRISES","","2026-06-06"
"12","Indian Institute Of Technology (iit)","Other Govt","7","NASTROJ INDIA PRIVATE LIMITED | AGMATEL INDIA PRIVATE LIMITED | CONVERGENT TECHNOLOGIES INDIA PRIVATE LIMITED","","2026-06-06"
"13","Indian Council Of Agricultural Research (icar)","Other Govt","7","SHRI CHEMICALS AND INSTRUMENTS | ONCOGENOMICS LIFE SCIENCES | AKCRON TECHNOLOGIES","","2026-06-06"
"14","Hqids","Other Govt","6","SHREE VINAYAK TRADERS | VISHVAKARMA MOTOR GARRAGE | GHOSH ENTERPRISES PORT BLAIR","","2026-06-06"
"15","Bharat Heavy Electricals Limited (bhel)","Other Govt","6","LLOYD INSULATIONS (INDIA) LIMITED | NAHAR ENTERPRISE | PRAVEEN ENTERPRISES","","2026-06-06"
"16","Airports Authority Of India","Other Govt","6","ENTUPLE TECHNOLOGIES PRIVATE LIMITED | Q-MAX SERVICES | PERFECTS PEST CONTROL SERVICES","","2026-06-06"
"17","Security Printing And Minting Corporation Of India Limited (spmcil)","Municipal","5","STANDARD INFO SOLUTIONS | HINDUSTHAN ASSOCIATES | TEMPSENS INSTRUMENTS (INDIA) PRIVATE LIMITED","","2026-06-06"
"18","All India Institute Of Medical Sciences (aiims)","Health","5","MASPPO MEDICAL DEVICES | L.M.AGENCIES | ALL IN ONE PEST CONTROL INDIA","","2026-06-06"
"19","E-nagar Palika Government Of Madhya Pradesh","Municipal","4","RAMASHRAY TRADING CO | LABOUR INDUSTRIES | N P L SERVICES","Madhya Pradesh","2026-06-06"
"20","Directorate Of Purchase And Stores","Other Govt","4","VVDN TECHNOLOGIES PRIVATE LIMITED | ACCURATE SENSING TECHNOLOGIES PRIVATE LIMITED | KASLIWAL BIO-MEDICS","","2026-06-06"
