rank,state,bid_count,top_dealers,has_100x
"1","Uttar Pradesh","23","COLUMBUS CLIMBER INDIA | PRAYAG DEVI CONTROCTOR | AVTAR ENTERPRISES","No"
"2","Maharashtra","17","NAVINYA ASSOCIATES | VAKRATUND ENTERPRISES | S S ENTERPRISES","No"
"3","Madhya Pradesh","13","RAMASHRAY TRADING CO | GALAXY ENTERPRISES & SERVICES | OAS SKY LIMITS","No"
"4","Bihar","10","POOJA INDUSTRIES | WALTZER INDIA PRIVATE LIMITED | MISTU ENTERPRISES","No"
"5","Jammu","9","R.K.TRADERS | GOURI SALES AGENCIES | NEEL PRAKASHAN","No"
"6","Gujarat","3","JAYVEER ENTERPRISE | GEMTRACK E-PROCUREMENT PRIVATE LIMITED | PARTH ENTERPRISE","No"
"7","Karnataka","3","SAMBHAV ASSOCIATES | SMART ENTERPRISES | AZEEM ENGNEERING WORKS","No"
"8","Odisha","3","BIO-TECHNIKA | VIRAAJ ENTERPRISES | FOGGERS INDIA PRIVATE LIMITED","No"
"9","Kerala","3","SANVIK IND. | IT PROFESSIONALS CO OPERATIVE SOCIETY | SURYAA BUSINESS FORMS","No"
"10","Uttarakhand","2","ROYAL TRADELINKS PRIVATE LIMITED | K.A. ENTERPRISES","No"
