rank,state,bid_count,opportunity,dealers_winning_there
"1","Uttar Pradesh","23","CRITICAL","COLUMBUS CLIMBER INDIA | PRAYAG DEVI CONTROCTOR | AVTAR ENTERPRISES"
"2","Maharashtra","17","CRITICAL","NAVINYA ASSOCIATES | VAKRATUND ENTERPRISES | S S ENTERPRISES"
"3","Madhya Pradesh","13","CRITICAL","RAMASHRAY TRADING CO | GALAXY ENTERPRISES & SERVICES | OAS SKY LIMITS"
"4","Bihar","10","CRITICAL","POOJA INDUSTRIES | WALTZER INDIA PRIVATE LIMITED | MISTU ENTERPRISES"
"5","Jammu","9","HIGH","R.K.TRADERS | GOURI SALES AGENCIES | NEEL PRAKASHAN"
"6","Gujarat","3","MEDIUM","JAYVEER ENTERPRISE | GEMTRACK E-PROCUREMENT PRIVATE LIMITED | PARTH ENTERPRISE"
"7","Karnataka","3","MEDIUM","SAMBHAV ASSOCIATES | SMART ENTERPRISES | AZEEM ENGNEERING WORKS"
"8","Odisha","3","MEDIUM","BIO-TECHNIKA | VIRAAJ ENTERPRISES | FOGGERS INDIA PRIVATE LIMITED"
"9","Kerala","3","MEDIUM","SANVIK IND. | IT PROFESSIONALS CO OPERATIVE SOCIETY | SURYAA BUSINESS FORMS"
"10","Uttarakhand","2","MEDIUM","ROYAL TRADELINKS PRIVATE LIMITED | K.A. ENTERPRISES"
